#,Kevin Ready?,Continent,Country,State/Province/Territory/etc.,Location,Region,Up Front Description,Hint # 1,Description at the end (100 words),Has Chez Edited Description,Wikipedia Link,Tourism Link,Climate,Pics Uploaded?,Who logged,Pictures,TB URL,Notes
1,,,,,,,,,,,,,,FALSE,,,,
11,FALSE,Asia,Japan,,,Asia,It is a country,"This country blends ancient temples and futuristic toilets, and it gave the world sushi, samurai, and sumo wrestling.","Japan is a mesmerizing blend of ancient tradition and cutting-edge modernity, where serene temples and geisha-lined streets sit just steps from glowing arcades and high-speed trains. You can slurp ramen in a bustling Tokyo alley, watch cherry blossoms drift through the air in Kyoto, or soak in an onsen with views of Mount Fuji. From meticulously crafted sushi to robot cafes, Japan is a sensory adventure wrapped in precision and beauty. Each region offers its own unique rhythm, from the quiet forests of Nara to the electric buzz of Shibuya. It’s a place where every detail matters and every moment feels a little magical.",Yes,https://en.wikipedia.org/wiki/Japan,https://www.japan.travel/en/us/,Subarctic to subtropical,TRUE,Aviva,,,
12,FALSE,Asia,Jordan,,,Asia,It is a country,"This country shares a name with one of the most famous basketball players of all time, he even has his own shoe brand named after him.","A land of ancient wonders and dramatic landscapes, Jordan is where the rose-red city of Petra rises from the desert like a mirage and Bedouin hospitality turns strangers into friends. You can float effortlessly in the Dead Sea, explore the Martian-like beauty of Wadi Rum, and follow the footsteps of history through Roman ruins in Jerash and biblical sites along the Jordan River. The country's blend of rich culture, spiritual depth, and jaw-dropping scenery makes every journey feel like an epic tale. Whether sipping tea under desert stars or hiking hidden canyons, Jordan offers adventure with soul and history with heart.",Yes,https://en.wikipedia.org/wiki/Jordan,https://visitjordan.com/,Arid,TRUE,Aviva,,,
13,TRUE,Asia,Nepal and China,Koshi Province,Mount Everest,Asia,"It is a famous geographic feature (e.g Mountain, River, Lake, etc.)",This geographic feature will leave you breathless as you take in summit view into Tibet and Nepal,"The world's highest peak, Mount Everest is truly an awesome mountain that offers climbers an incredible challenge. The trek to basecamp is a hearty adventure of its own, through rugged mountain trails, vibrant Sherpa villages, and ancient monasteries, leading to the foot of this legendary giant. Along the way, hikers experience panoramic views of towering peaks, traverse thrilling suspension bridges, and explore iconic spots like Kala Patthar, which offers one of the best views of Everest. Surrounding hikes in Sagarmatha National Park reveal pristine glaciers, rare Himalayan wildlife, and the spiritual beauty of Tengboche Monastery - and prove that the journey can be just as rewarding as the destination. Whether trekking to base camp, taking a scenic helicopter tour, or simply soaking in the grandeur of the Himalayas, the Everest region promises an unforgettable adventure for hearty explorers.",Yes,https://en.wikipedia.org/wiki/Mount_Everest,https://ntb.gov.np/everest,Alpine,TRUE,,,,
14,FALSE,Asia,Saudi Arabia,,,Asia,It is a country,"When you think of this country you think dessert and Oil, oil, oil.","Saudi Arabia is a land of striking contrasts, where futuristic cities rise from ancient sands and millennia-old ruins meet cutting-edge ambition. From the dramatic rock formations of AlUla and the Nabatean tombs of Hegra, to the sleek skyline of Riyadh and the Red Sea’s pristine coral reefs, it’s a country in the midst of a bold transformation. You can wander bustling souks, explore vast deserts on camelback, or dive into untouched marine worlds—all in one trip. With a rich tapestry of history, culture, and newfound openness to travelers, Saudi Arabia unveils its secrets to the world, one unforgettable experience at a time.",Yes,https://en.wikipedia.org/wiki/Saudi_Arabia,https://www.sta.gov.sa/en/home,Arid,TRUE,Aviva,,,
15,TRUE,Asia,Vietnam,,,Asia,It is a country,This country once defeated the United States in a war,"Vietnam is a vibrant tapestry of stunning landscapes, rich history, and unforgettable flavors. From the emerald-green waters of Ha Long Bay to the golden rice terraces of Sapa, every corner of this country tells a story of natural beauty. Wander the bustling streets of Hanoi and Ho Chi Minh City, savor the aromatic delights of pho and banh mi, or immerse yourself in the peaceful charm of ancient towns like Hoi An. Whether you're cruising the Mekong Delta or exploring misty mountains, Vietnam promises exhilarating journeys full of culture, adventure, and soul-stirring moments.",Yes,https://en.wikipedia.org/wiki/Vietnam,https://vietnam.travel/node/1336,Humid Subtropical,TRUE,,,,
16,TRUE,Australia,Australia,New South Wales,Blue Mountains,Australia,It is a famous geographic feature,A famous group of mountains in Australia,"Australia's Blue Mountains are a wonderland of dramatic cliffs, cascading waterfalls, and lush eucalyptus forests that undulate off into to the horizon. Famous for the mesmerizing blue haze created by the eucalyptus oils in the air, this UNESCO World Heritage site is ideal for nature lovers. Explore the iconic Three Sisters rock formation, ride thrilling cableways over deep valleys, or hike through ancient rainforests teeming with unique wildlife. Just a short trip from Sydney, the Blue Mountains are a bucolic escape into Australia’s serene and majestic wilderness.",Yes,https://en.wikipedia.org/wiki/Blue_Mountains_(New_South_Wales),https://www.visitbluemountains.com.au/about-blue-mountains-tourism,Tempurate,TRUE,,,,
17,TRUE,Australia,Australia,South Australia,Kangaroo Island,Australia,It is a famous geographic feature,"An island off the coast of another island, with a lot of inhabitants that hop","Kangaroo Island is a sanctuary of wildlife, pristine beaches, and rugged natural beauty just off the coast of South Australia. Known as Australia's ""zoo without fences,"" it’s home to kangaroos, koalas, sea lions, and an array of unique native animals thriving in their natural habitats. Explore the Remarkable Rocks, stroll along the powdery sands of Vivonne Bay, or marvel at the playful seals at Seal Bay. Nature lovers will find it is a must-visit destination.",Yes,https://en.wikipedia.org/wiki/Kangaroo_Island,https://www.tourkangarooisland.com.au/,Mediterranean,TRUE,,,,
18,TRUE,Australia,Australia,,Sydney,Australia,It is a city,Famous for its Opera House that suggests sails on a boat,"Home to the world-famous Sydney Opera House and Harbour Bridge, Sydney lies within the bays, points and islands of lovely Sydney Harbour. Relax on the golden sands of Bondi Beach, wander the historic streets of The Rocks, or soak in panoramic views from a ferry to Manly. With its buzzing culture, incredible dining, and endless outdoor adventures, Sydney is a blend of cosmopolitan charm and coastal paradise.",Yes,https://en.wikipedia.org/wiki/Sydney,https://www.sydney.com/,Tempurate,TRUE,,,,
19,FALSE,Europe,Finland,,,Europe,It is a country,"Where saunas outnumber people, reindeer might cause traffic jams, and the sun forgets to set—or rise—depending on the season.","Finland is a serene wonderland where northern lights dance across Arctic skies, saunas outnumber cars, and silence is considered a luxury. In winter, you can mush a husky sled through Lapland’s snowy forests, stay in a glass igloo under the stars, or meet Santa Claus in his official hometown. In summer, the land of a thousand lakes and midnight sun comes alive with wild berries, music festivals, and endless daylight. Whether you're sipping coffee in chic, design-forward Helsinki or listening to the peaceful rustle of birch trees in the countryside, Finland seemlessly blends nature, modernity and calm into one nation.",Yes,https://en.wikipedia.org/wiki/Finland,https://www.visitfinland.com/en/,Tempurate,TRUE,Aviva,,,
20,TRUE,Europe,France,,Paris,Europe,It is a city,"Know for its cuisine, art and light...","Paris, the City of Light, is a captivating blend of romance, history, and timeless elegance. From the iconic Eiffel Tower to the majestic Notre-Dame Cathedral, every corner of this enchanting city tells a story. Stroll along the charming Seine River, explore the art-filled halls of the Louvre, or savor buttery croissants at a quaint cafe. With its world-class cuisine, vibrant culture, and undeniable charm, Paris is a world-famous destination that just might steal your heart.",Yes,https://en.wikipedia.org/wiki/Paris,https://parisjetaime.com/eng/,Temperate,TRUE,,https://drive.google.com/drive/folders/1xV1ENOjxujoN9-pOZjdLia40NHQK5ukx?usp=sharing,,Not sure we can legaly use these images for commercial purposes. They are from Creative Commons
21,FALSE,Europe,France,,,Europe,It is a country,The only place where real champagne is produced.,"Like a living work of art, France is where every bite, view, and moment is steeped in style and history. From the romantic streets of Paris to the lavender fields of Provence, and the sun-drenched beaches of the French Riviera to the snowy peaks of the Alps, it's a place that constantly dazzles. You can sip wine in a medieval village, wander through world-class museums, or simply sit at a café and watch the world go by (and doing nothing has never felt so chic). With its rich culture, irresistible cuisine, and effortless charm, France doesn’t just welcome you—it seduces you.",Yes,https://en.wikipedia.org/wiki/France,https://www.france.fr/en/,Temperate,TRUE,Aviva,,,
22,FALSE,Europe,Germany,,,Europe,It is a country,"This country in Central Europe is known for its rich history, precision engineering, famous composers, and a love for hearty foods like sausages and pretzels.","Germany is a captivating mix of storybook charm and cutting-edge cool, where medieval castles perch on riverbanks and sleek trains zip between vibrant cities. You can raise a stein at a lively beer hall in Munich, wander the half-timbered villages of the Romantic Road, or dive into Berlin’s electrifying blend of history, art, and nightlife. Forests, mountains, and fairytale towns make the countryside feel straight out of a Brothers Grimm tale, while cities pulse with innovation and style. From Black Forest hikes to techno-fueled nights, Germany blends old soul and modern spirit in one incredible package.",Yes,https://en.wikipedia.org/wiki/Germany,https://www.germany.travel/en/home.html,Tempurate,TRUE,Aviva,,,
23,FALSE,North America,Greeland,,,North America,It is a country,"The name of this country suggests that it would be verdant, but it is actually very icy and snow covered most of the year.","Greenland is a vast, otherworldly frontier where icebergs drift like sculptures, glaciers creak and groan, and the silence is as profound as the scenery. Here, you can kayak alongside humpback whales, hike across tundra blooming with Arctic wildflowers, or watch the northern lights swirl above colorful villages clinging to the coast. Despite its name, Greenland is more ice than green—yet its raw beauty and remoteness make every encounter feel like an epic discovery. The Inuit culture adds depth and warmth to this stark landscape, offering insight into a way of life shaped by resilience. For those craving nature at its most powerful and pure, Greenland is the edge of the world and yet invites you in.",Yes,https://en.wikipedia.org/wiki/Greenland,https://visitgreenland.com/,Arctic,TRUE,Aviva,,,
24,TRUE,Europe,Iceland,,Iceland,Europe,It is a country,An island nation that sits between Continental Europe and North America.,"Discover the striking beauty of Iceland, where fire and ice collide in a stunning land of adventure. Witness the gorgeous flows of the Northern Lights, soak in the Blue Lagoon’s geothermal waters, embark on epic glacier hikes or whale-watching tours, and explore majestic waterfalls, black sand beaches, and volcanic landscapes. The capital city, Reykjavik offers vibrant culture, world-class cuisine, and luxurious hotels. Whether you’re chasing midnight sun in summer or magical winter wonderlands, Iceland offers an unforgettable journey. Iceland’s raw, untamed beauty is literally awesome.",Yes,https://en.wikipedia.org/wiki/Iceland,https://www.visiticeland.com/,subarctic climate,TRUE,,,,
25,FALSE,Europe,Ireland,,,Europe,It is a country,If you find a four leaf clover while in this country or if you kiss the Blarney stone while you are there you will have good luck.,"Ireland is a land of brilliant green hills, dramatic coastlines, and legends that feel just a heartbeat away from reality. You can wander through ancient castles, sip pints in cozy pubs where fiddles play into the night, or drive the winding roads of the Wild Atlantic Way, where every bend reveals a new postcard-worthy view. From the literary buzz of Dublin to the mystical beauty of the Cliffs of Moher or the Giant’s Causeway, Ireland is as rich in stories as it is in scenery. The people are famously warm, the weather delightfully unpredictable, and the charm utterly irresistible. In Ireland, every day feels like stepping into a tale told with wit, heart, and a touch of magic.",Yes,https://en.wikipedia.org/wiki/Ireland,https://www.ireland.com/en-us/,Tempurate Oceanic,TRUE,Aviva,,,
26,TRUE,Europe,Italy,,Rome,Europe,It is a city,"Julies Ceasar lived here, and he was also killed here by senators who feared he was becoming too powerful","In Rome, ancient ruins and buzzing modern in a spectacular collision that spans much of human history. One moment you're tossing a coin into the Trevi Fountain, the next you're sipping espresso in a café that’s older than most countries. The Colosseum and the Pantheon aren’t just tourist stops — they’re truly awesome time machines that make you feel the history in your bones. In Vatican City, you can marvel at Michelangelo’s ceiling and then, seconds later, walk out to a roaring Vespa-filled street. And just when you think it can’t get better, the pasta, wine, and gelato remind you it absolutely can. Rome doesn’t just tell history — it performs it on every cobbled street, every piazza, every golden hour. It’s chaotic, charming, and completely unforgettable.",Yes,https://en.wikipedia.org/wiki/Rome,https://www.turismoroma.it/en,Mediterranean climate,TRUE,,,,
27,FALSE,Europe,Italy,,,Europe,It is a country,"This European country is famed for its art, ancient ruins, world-class cuisine including pasta and pizza, stylish fashion, and modern cities steeped in history.","A feast for the senses, Italy is where ancient ruins, Renaissance art, and mouthwatering cuisine come together in a country that feels like a living masterpiece. You can stroll the cobblestone streets of Rome, float through the canals of Venice, or sip wine under the Tuscan sun with views that look straight out of a painting. From the dramatic cliffs of the Amalfi Coast to the stylish buzz of Milan, every region has its own rhythm, flavor, and flair. The pasta is fresh, the history is deep, and even a simple espresso feels like an event. In Italy, life isn’t just lived, it’s savored.",Yes,https://en.wikipedia.org/wiki/Italy,https://www.italia.it/en,Tempurate Mediterranean,TRUE,Aviva,,,
28,TRUE,Europe,Lithuania,,,Europe,It is a country,"This Baltic nation boasts medieval castles, lush forests, and a capital with baroque architecture. It was once part of a powerful commonwealth and celebrates vibrant folk traditions and basketball passion.","Not (yet) on the radar of many, the Baltic country of Lithuania blends lush forests, shimmering lakes, and medieval castles to create a fairy-tale landscape. Explore the charming cobblestone streets of Vilnius, a UNESCO-listed capital brimming with Baroque beauty and vibrant culture. From the mystical Hill of Crosses to the golden dunes of the Curonian Spit, the country is a trove of natural and historical wonders. With its warm hospitality, rich traditions, and enchanting scenery, Lithuania promises new adventures at virtually every turn. ",Yes,https://en.wikipedia.org/wiki/Lithuania,https://lithuania.travel/en/media,Humid continental,TRUE,,,,
29,FALSE,Europe,Norway,,,Europe,It is a country,"Where the sun takes midnight shifts, trolls lurk in fjords, and every road trip feels like driving through a screensaver.","Norway is like a gorgeous scenic postcard - except it's real! The landscapes, villages and fjords are so striking that it's hard to believe it's all real. You can ski, swim, and get attacked by a seagull for your waffle all in the same day. Norwegians are effortlessly cool, mostly because their national pastime is standing in saunas before jumping into freezing lakes. And yes, the sun forgets to set in summer and refuses to rise in winter, but the locals just shrug and head out for great nightlife, epic outdoor adventures and to commune with nature anyway. ",Yes,https://en.wikipedia.org/wiki/Norway,https://www.visitnorway.com/,Maritime,TRUE,Aviva,,,
30,FALSE,Europe,Poland,,,Europe,It is a country,"A land where castles outnumber coffee chains, pierogi are practically a food group, and history echoes through every cobblestone street","Poland is a dynamic blend of resilience, rich history, and vibrant culture, where medieval towns, majestic castles, and modern cities live side by side. You can wander the cobbled streets of Kraków, explore the striking architecture of Warsaw, or marvel at the seaside charm of Gdańsk. From the snow-capped Tatra Mountains to the serene beauty of Mazury’s lakes, Poland’s landscapes are as varied as its traditions. Its hearty cuisine, soulful music, and deep-rooted spirit tell stories of a nation that has endured and evolved. Poland doesn’t just invite you to explore, but draws you in with heart and history.",Yes,https://en.wikipedia.org/wiki/Poland,https://www.pot.gov.pl/en,Moderate,TRUE,Aviva,,,
31,FALSE,Europe,Portugal,,,Europe,It is a country,"This coastal nation gave the world port wine, global explorers, and the melancholic melodies of fado echoing through one city's tiled alleys.","Portugal is a sun-kissed gem where golden beaches, cobbled streets, and soulful fado music create a rhythm all its own. In Lisbon, vintage trams rattle through pastel neighborhoods perched over the sea, while Porto tempts with its riverside charm and world-famous wine. You can surf Atlantic waves by day and savor grilled sardines and custard tarts by night. Beyond the cities, explore fairytale palaces in Sintra, the dramatic cliffs of the Algarve, or the quiet vineyards of the Douro Valley. Portugal is where old-world charm and laid-back living blend together in a perfect harmony.",Yes,https://en.wikipedia.org/wiki/Portugal,https://www.visitportugal.com/en,Mediterranean,TRUE,Aviva,,,
32,FALSE,Europe,Slovenia,,,Europe,It is a country,"Tucked between Italy, Austria, and Croatia, this green gem boasts a dragon-guarded capital, fairy-tale lakes, and caves deep enough to hide an army of stalagmites","Slovenia is a hidden European treasure where alpine peaks, emerald rivers, and fairy-tale lakes come together in a compact, stunningly diverse landscape. You can row across the serene waters of Lake Bled, explore the underground marvels of Postojna Cave, or hike through the dramatic beauty of Triglav National Park. In the capital, Ljubljana, pastel baroque buildings, leafy riverbanks, and a youthful creative vibe make the city irresistibly charming. From vineyard-covered hills to Adriatic coastlines, Slovenia packs an incredible amount of wonder into one small, welcoming country. Perhaps Europe’s best-kept secret, it's peaceful, picturesque, and packed with adventure.",Yes,https://en.wikipedia.org/wiki/Slovenia,https://www.slovenia.info/en,"Sub-Mediterranean, Alpine, and continental climates",TRUE,Aviva,,,
33,FALSE,Europe,Spain,,,Europe,It is a country,"Christopher Columbus was Italian, but this countries king and queen sent him on the exploration which ""discovered"" the Americas.","Spain is a vibrant mosaic of sun-soaked beaches, historic cities, flamenco rhythms, and tapas-filled nights, where every region feels like its own unique world. You can marvel at Gaudí’s surreal architecture in Barcelona, wander the palaces of Andalusia, or dance until dawn in the buzzing streets of Madrid. From the green hills of Galicia to the fiery fiestas of Seville, Spain thrives on passion, flavor, and living life to the fullest. The food is a celebration, the pace is unapologetically relaxed, and the energy is infectious. In Spain, every day feels like a festival of culture, color, and joy.",Yes,https://en.wikipedia.org/wiki/Spain,https://www.spain.info/en/,Tempurate,TRUE,Aviva,,,
34,FALSE,Europe,Sweden,,,Europe,It is a country,"Birthplace of IKEA, ABBA, and fika breaks.","Sweden is a sleek and soulful escape where modern design, deep forests, and fika-fueled charm come together in perfect balance. In Stockholm, islands and innovation blend as effortlessly as minimalist fashion and centuries-old palaces, while Lapland offers reindeer safaris, northern lights, and cozy nights in Arctic lodges. Summer brings endless daylight and lakeside swims, while winter turns the countryside into a snow-globe dream. Whether you're strolling cobblestone streets, sailing the archipelago, or unwinding in a sauna, Sweden invites you to slow down and savor the beauty in simplicity. It's both stylish and yet quietly spectacular at the same time.",Yes,https://en.wikipedia.org/wiki/Sweden,https://visitsweden.com/,Subarctic to Oceanic,TRUE,Aviva,,,
35,TRUE,Europe,Switzerland,,,Europe,It is a country,"This country in Europe has a reputation for neutrality, banking, and watches","Switzerland is a storybook destination where snow-capped Alps, sparkling turquoise lakes, and charming villages create picture-perfect scenes. Known for world-class ski resorts, scenic train journeys, and delicious chocolate and cheese, it’s a haven for adventure and indulgence alike. Stroll through the medieval streets of Lucerne, marvel at the Matterhorn in Zermatt, or relax by the serene shores of Lake Geneva. Blending pristine beauty and rich culture, Switzerland is a ideal for adventurers, culture mavens and those who crave luxury.",Yes,https://en.wikipedia.org/wiki/Switzerland,https://www.myswitzerland.com/en-us/,Temperate,TRUE,,,,
36,FALSE,Europe,United Kingdom,,,Europe,It is a country,"Home to tea traditions, royal pageantry, and Shakespeare’s quill.","The United Kingdom is a rich blend of timeless tradition and bold modern flair, where ancient castles, literary legends, and royal pageantry meet vibrant cities and cutting-edge culture. In London, you can tour centuries of history by day and catch a West End show by night, while Edinburgh enchants with its gothic skyline and festival buzz. Beyond the cities, the UK offers rolling green hills in the Cotswolds, misty mountains in Wales, and rugged coastlines in Northern Ireland. Each region has its own accent, charm, and pub with a story to tell. From Shakespeare to Stormzy, the UK is a place where the past is always present and the bedrock of its modern drive.",Yes,https://en.wikipedia.org/wiki/United_Kingdom,https://www.visitbritain.com/en,Humid temperate oceanic,TRUE,Aviva,,,
37,TRUE,North America,Canada,Nova Scotia,Nova Scotia,North America,It is a state/territory/province,"This destination is known for its dramatic ocean views, historic lighthouses, vibrant Celtic culture, and the world’s highest tides. Here, seafood is legendary and maritime heritage runs deep.","Canada’s coastal jewel, Nova Scotia is where rugged cliffs meet the Atlantic in a dramatic display of nature’s majesty. This province commands attention with its historic sites, world-class seafood, and unspoiled landscapes. From the iconic Cabot Trail to the heritage of Lunenburg, a UNESCO World Heritage Site, Nova Scotia offers a compelling blend of culture, adventure, and natural beauty. The Bay of Fundy’s record-breaking tides and the pristine beaches of Cape Breton are must-see marvels. Whether for exploration or relaxation, Nova Scotia sets a national standard for hearty, vibrant coastal tourism. ",Yes,https://en.wikipedia.org/wiki/Nova_Scotia,https://novascotia.com/,Temperate,TRUE,Chez,,,
38,FALSE,North America,Canada,Quebec,,North America,It is a state/territory/province,"This destination blends old world charm with new world flair, offering cobblestone streets, centuries-old architecture, and a very large Francophone population. Here history, language, and culture shape every experience.","Quebec blends old-world charm and natural grandeur. Wander the cobblestone streets of Old Québec, a UNESCO World Heritage Site, where history comes alive in stunning architecture and French heritage. Beyond the cities, discover vast landscapes, from the Laurentian Mountains to the Gaspé Peninsula, ideal for hiking, biking, skiing, and scenic drives. Savor world-renowned cuisine, from fine dining in Montréal to maple delicacies in the countryside. Whether you're drawn to cultural festivals, serene nature, or vibrant urban life, Quebec welcomes you with warmth and authenticity. Embrace this destination where tradition and discovery meet in every season and is distinctly unforgettable.",Yes,https://en.wikipedia.org/wiki/Quebec,https://www.bonjourquebec.com/,Temperate,TRUE,Aviva,,,
